year,date,category,country,city,event,line
"1970","2 сентября","ussr","СССР","Душанбе","stay","Л.И. находился в г. Душанбе."
"1970","4 сентября","ussr","СССР","Фрунзе","departure","Л.И. находился в г. Фрунзе, в JЗП самолетом Л.И. отбыл в район озера Иссык-Куль (в 1412 нрибыли)."
"1970","8 сентября","ussr","СССР","Ташкент","stay","Л. И. находился в Ташкенте."
"1970","10 сентября","ussr","СССР","Завидово","departure","В J5ШJI.И. выехал в «Завидово>>."
"1970","14 сентября","ussr","СССР","Заречье","stay","Л.И. находился в Заречье."
"1970","19 сентября","ussr","СССР","Завидово","departure","Л.И. в 110!! выехал из «Барсуков>> в «Завидово»."
"1970","22 сентября","ussr","СССР","Заречье","stay","Л.И. находился на даче в «Заречье>>, работал над речью в Баку."
"1970","23 сентября","ussr","СССР","Барвиха","stay","Л.И. находился в <<Барвихе»."
"1970","27 сентября","ussr","СССР","Заречье","stay","В 2220 Л.И. вернулся в Заречье."
"1970","28 сентября","ussr","СССР","Баку","departure","В !700 Л.И. выехал поездом в г. Баку."
"1970","7 октября","ussr","СССР","Байконур","departure","В !бШЛ.И. выехал на аэродром Внуково-2, в lб:ill вылетел на Байконур."
"1970","9 октября","ussr","СССР","Завидово","departure","В 9J!! Л.И. вылетел из Байконуре - в [2i8 приземлилея в Шереметьева и сразу же выехал в Завидово."
"1970","17 октября","ussr","СССР","Завидово","stay","Л.И. находился в Завидово."
